id,date,title,type
1,-03-19,"St. Joseph, Husband of the Blessed Virgin Mary",Solemnity
2,-03-25,The Anunciation of the Lord,Solemnity
3,-06-24,The Nativity of St. John the Baptist (Vigil & Day),Solemnity
4,-06-29,Sts. Peter and Paul (Vigil & Day),Solemnity
5,-08-15,The Assumption of the Blessed Virgin Mary (Vigil & Day),Solemnity
6,-11-01,All Saints Day,Solemnity
7,-11-02,"Commemoration of All the Faithful Departed (""All Souls Day"")",Solemnity
8,-12-08,The Immaculate Concepcion of the Blessed Virgin Mary,Solemnity
9,-02-02,Presentation of the Lord,Feast
10,-08-06,Transfiguration of the Lord,Feast
11,-09-14,Exaltation of the Holy Cross,Feast
12,-11-09,Dedication of the Lateran Basilica in Rome,Feast
13,-05-31,Visitation of the Blessed Virgin Mary,Feast
14,-09-08,The Nativity of the Blessed Virgin Mary,Feast
15,-12-12,Our Lady of Guadalupe,Feast
16,-01-25,"The Conversion of St. Paul, Apostle",Feast
17,-02-22,"The Chair of St. Peter, Apostle",Feast
18,-04-25,"St. Mark, evangelist",Feast
19,-05-03,"Sts. Philip and James, Apostle",Feast
20,-05-13,"St. Matthias, Apostle",Feast
21,-07-03,"St. Thomas, Apostle",Feast
22,-07-25,"St. James, Apostle",Feast
23,-08-24,"St. Bartholomew, Apostle",Feast
24,-09-21,"St. Matthew, Apostle and evangelist",Feast
25,-10-18,"St. Luke, evangelist",Feast
26,-10-28,"Sts. Simon and Jude, Apostles",Feast
27,-11-30,"St. Andrew, Apostle",Feast
28,-12-27,"St. John, Apostle and evangelist",Feast
29,-08-10,"St. Lawrence, deacon and martyr",Feast
30,-09-29,"Sts. Michael, Gabriel and Raphael, archangels",Feast
31,-12-26,"St. Stephen, first martyr",Feast
32,-12-28,"The Holy Innocents, martyrs",Feast
33,-01-26,"Sts. Timothy and Titus, bishops",Memorial
34,-06-11,"St. Barnabas, Apostle",Memorial
35,-07-22,St. Mary Magdalene,Memorial
36,-07-26,"Sts. Joachim and Anne, parents of Blessed Virgin Mary",Memorial
37,-07-29,St. Martha,Memorial
38,-08-29,The Martyrdom of St. John the Baptist,Memorial
39,-09-15,Our Lady of Sorrows,Memorial
40,-10-02,The Guardian Angels,Memorial
41,-10-17,St. Ignatius of Antioch,Memorial
42,-05-01,St. Joseph the Worker,Memorial
43,-11-08,Dedication of Basilicas of Sts. Peter and Paul,Memorial
