id,sunday_weeknum,sunday_name,sunday_first_reading,sunday_first_audio,sunday_second_reading,sunday_second_audio,sunday_alleluia_verse,sunday_alleluia_audio,sunday_responsorial_psalm,sunday_responsorial_audio,sunday_gospel,sunday_gospel_audio,sunday_before_gospel,sunday_before_gospel_audio,sunday_cycle_type,sunday_reading_type,sunday_description
1,1,The Feast of the Baptism of the Lord - A ,Isa 42:1-4,,Acts 10:34-38,,cf. Mark 9:7,,Ps 29:1-2,,Matt 3:13-17,,,,A,ordinary,[begin 1st Week in Ordinary Time]
2,2,2nd Sunday in Ordinary Time - A,Isa 49:3,,1 Cor 1:1-3,,John 1:14a+12a,,Ps 40:2+4,,John 1:29-34,,,,A,ordinary,
3,3,3rd Sunday in Ordinary Time - A,Isa 8:23b-9:3,,1 Cor 1:10-13,,cf. Matt 4:23,,Ps 27:1,,Matt 4:12-23,,,,A,ordinary,
4,4,4th Sunday in Ordinary Time - A,Zeph 2:3,,1 Cor 1:26-31,,Matt 5:12a,,Ps 146:6c-7,,Matt 5:1-12a,,,,A,ordinary,[Presentation in 2014]
5,5,5th Sunday in Ordinary Time - A,Isa 58:7-10,,1 Cor 2:1-5,,John 8:12,,Ps 112:4-5,,Matt 5:13-16,,,,A,ordinary,
6,6,6th Sunday in Ordinary Time - A,Sir 15:16-21,,1 Cor 2:6-10,,cf. Matt 11:25,,Ps 119:1-2,,Matt 5:17-37,,,,A,ordinary,
7,7,7th Sunday in Ordinary Time - A,Lev 19:1-2,,1 Cor 3:16-23,,1 John 2:5,,Ps 103:1-2,,Matt 5:38-48,,,,A,ordinary,
8,8,8th Sunday in Ordinary Time - A,Isa 49:14-15,,1 Cor 4:1-5,,Hebr 4:12,,Ps 62:2-3,,Matt 6:24-34,,,,A,ordinary,
9,9,9th Sunday in Ordinary Time - A,Deut 11:18,,Rom 3:21-25,,John 15:5,,Ps 31:2-3a,,Matt 7:21-27,,,,A,ordinary,[omitted in 2014]
10,10,10th Sunday in Ordinary Time - A,Hos 6:3-6,,Rom 4:18-25,,cf. Luke 4:18,,Ps 50:1+8,,Matt 9:9-13,,,,A,ordinary,[Pentecost in 2014]
11,11,11th Sunday in Ordinary Time - A,Exod 19:2-6a,,Rom 5:6-11,,Mark 1:15,,Ps 100:1-2,,Matt 9:36-10:8,,,,A,ordinary,[Holy Trinity in 2014]
12,12,12th Sunday in Ordinary Time - A,Jer 20:10-13,,Rom 5:12-15,,John 15:26b-27a,,Ps 69:8-10,,Matt 10:26-33,,,,A,ordinary,[Corpus Christi in 2014]
